symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ZROUSDT,0.08200000,4.304,1.95890588,1.90500000,1.98700000,251.63000000,1.98700000,881.43000000,1.98800000,199.26000000,1.90500000,2.05400000,1.88000000,3991032.69000000,7818057.42323,1772900599608,1772986999608,63063031,63119406,56376
UNIUSDT,-0.11300000,-2.977,3.73497957,3.79500000,3.68300000,190.65000000,3.68300000,524.82000000,3.68400000,2.72000000,3.79600000,3.82100000,3.67500000,1969493.04000000,7356016.25982,1772900598945,1772986998945,267012515,267061810,49296
PENGUUSDT,-0.00021800,-3.26,0.00655512,0.00668600,0.00646900,1716.00000000,0.00646900,51663.00000000,0.00647000,16728.00000000,0.00668700,0.00673600,0.00643400,1111070312.00000000,7283194.213834,1772900598870,1772986998870,186109448,186195505,86058
ASTERUSDT,-0.01000000,-1.443,0.68615466,0.69400000,0.68300000,13.74000000,0.68300000,55548.94000000,0.68400000,73719.67000000,0.69300000,0.69600000,0.67700000,10396527.12000000,7133625.55607,1772900598796,1772986998796,38006249,38027467,21219
BCHUSDT,-5.20000000,-1.153,449.25583270,450.90000000,445.70000000,2.11100000,445.70000000,2.83300000,445.80000000,1.50700000,450.90000000,455.40000000,445.00000000,15693.21000000,7050266.1263,1772900597673,1772986997673,275987159,276039377,52219
PUMPUSDT,-0.00001600,-0.835,0.00189446,0.00191600,0.00190000,324766.00,0.00190000,1609739.00,0.00190100,1511114.00,0.00191600,0.00194900,0.00185500,3709270896.00,7027070.784291,1772900597742,1772986997742,42368064,42420468,52405
ENAUSDT,-0.00280000,-2.767,0.10031004,0.10120000,0.09840000,55180.89000000,0.09840000,69436.85000000,0.09850000,78326.24000000,0.10120000,0.10270000,0.09820000,69596998.56000000,6981277.801345,1772900599291,1772986999291,239447010,239488558,41549
DOTUSDT,-0.01600000,-1.091,1.45000542,1.46700000,1.45100000,87.03000000,1.45100000,2237.88000000,1.45200000,2455.68000000,1.46700000,1.48500000,1.42500000,4713829.25000000,6835077.98351,1772900599868,1772986999868,438127321,438175469,48149
TONUSDT,-0.00300000,-0.228,1.31883683,1.31300000,1.31000000,1530.22000000,1.30900000,6672.78000000,1.31000000,485.23000000,1.31300000,1.35900000,1.29100000,4689035.89000000,6184073.22206,1772900597719,1772986997719,86313581,86371451,57871
VIRTUALUSDT,-0.04250000,-6.268,0.65567914,0.67790000,0.63550000,24.80000000,0.63550000,1001.50000000,0.63560000,15.80000000,0.67800000,0.68030000,0.63490000,8921938.00000000,5849928.67376,1772900600044,1772987000044,93737303,93800467,63165
HUMAUSDT,0.00196000,12.335,0.01647059,0.01590000,0.01785000,10899.00000000,0.01780000,40176.00000000,0.01782000,10000.00000000,0.01589000,0.01844000,0.01441000,346370062.00000000,5704918.68666,1772900600001,1772987000001,22867766,22907452,39687
AAVEUSDT,-3.46000000,-3.154,107.90532307,109.70000000,106.25000000,0.22300000,106.25000000,10.93700000,106.26000000,0.20400000,109.71000000,110.13000000,105.95000000,50392.89000000,5437661.07597,1772900599866,1772986999866,287900082,287983072,82991
XPLUSDT,-0.00200000,-2.081,0.09528586,0.09600000,0.09410000,40698.50000000,0.09410000,5018.20000000,0.09420000,61433.10000000,0.09610000,0.09850000,0.09340000,54199042.30000000,5164402.27235,1772900596504,1772986996504,80017716,80093284,75569
BABYUSDT,0.00142000,12.611,0.01214602,0.01126000,0.01268000,2768.00000000,0.01267000,1438.00000000,0.01268000,438.00000000,0.01126000,0.01379000,0.01096000,418354162.00000000,5081337.82619,1772900597675,1772986997675,28745570,28837640,92071
